corpus	level	tfidf_cluster	semantic_cluster	overlap_papers	tfidf_size	semantic_size	jaccard	overlap_work_ids
audited	subcluster	S12	S11	1	3	26	0.03571428571428571	w_b034caed584efd9c
audited	subcluster	S13	S02	1	12	17	0.03571428571428571	w_b9374a286a73fd88
audited	subcluster	S05	S10	1	22	8	0.034482758620689655	w_c14141577a386c75
audited	subcluster	S05	S22	1	22	8	0.034482758620689655	w_4ec0813caf380920
audited	subcluster	S08	S25	1	17	13	0.034482758620689655	w_cf357442f5aa7893
audited	subcluster	S20	S22	1	22	8	0.034482758620689655	w_3f7299052e18118d
audited	subcluster	S19	S06	1	18	13	0.03333333333333333	w_be7a6d5176757697
audited	subcluster	S25	S22	1	23	8	0.03333333333333333	w_d3fbcea1a7016c21
audited	subcluster	S25	S24	1	23	8	0.03333333333333333	w_cfed60f0df988968
audited	subcluster	S25	S09	1	23	9	0.03225806451612903	w_b7c2381a27c702c4
audited	subcluster	S02	S12	1	9	24	0.03125	w_df6db03591377b6c
audited	subcluster	S04	S13	1	21	12	0.03125	w_9db09dfae393db2b
audited	subcluster	S15	S11	1	7	26	0.03125	w_24c53f7838cefa65
audited	subcluster	S17	S11	1	7	26	0.03125	w_4ed5458b1772d1f2
audited	subcluster	S25	S01	1	23	10	0.03125	w_b9bc4d3bac625b6d
audited	subcluster	S08	S02	1	17	17	0.030303030303030304	w_c6f5b81db8e0569b
audited	subcluster	S08	S20	1	17	17	0.030303030303030304	w_63d2efb7962dd788
audited	subcluster	S05	S03	1	22	13	0.029411764705882353	w_c8a949e793b32b4d
audited	subcluster	S19	S02	1	18	17	0.029411764705882353	w_ef661d9c28381b11
audited	subcluster	S25	S13	1	23	12	0.029411764705882353	w_1dc233460f682f8e
audited	subcluster	S13	S23	1	12	24	0.02857142857142857	w_cf6cf36d9750b226
audited	subcluster	S25	S03	1	23	13	0.02857142857142857	w_702044b6725a459d
audited	subcluster	S04	S05	1	21	16	0.027777777777777776	w_6d9aedbcf0365751
audited	subcluster	S08	S21	1	17	20	0.027777777777777776	w_dcf16633f7a33b13
audited	subcluster	S18	S11	1	11	26	0.027777777777777776	w_66063956acd1233b
audited	subcluster	S22	S10	1	29	8	0.027777777777777776	w_6ab9ecac32c07a9d
audited	subcluster	S04	S20	1	21	17	0.02702702702702703	w_67833e8bc8bb92f5
audited	subcluster	S05	S05	1	22	16	0.02702702702702703	w_6b8b0f146292001a
audited	subcluster	S11	S23	1	14	24	0.02702702702702703	w_3649951b25d89fe3
audited	subcluster	S05	S02	1	22	17	0.02631578947368421	w_bb266301f50d20fd
audited	subcluster	S18	S14	1	11	28	0.02631578947368421	w_ed2497928c30d699
audited	subcluster	S20	S20	1	22	17	0.02631578947368421	w_e219fcd05aa4ac72
audited	subcluster	S04	S21	1	21	20	0.025	w_5cfae990f2e4ea0e
audited	subcluster	S08	S23	1	17	24	0.025	w_3be7feda647d0399
audited	subcluster	S21	S09	1	32	9	0.025	w_a78497f1c2544ef9
audited	subcluster	S19	S23	1	18	24	0.024390243902439025	w_308c48dc4aaa9e3f
audited	subcluster	S25	S21	1	23	20	0.023809523809523808	w_28a1f31e8ca599b0
audited	subcluster	S03	S17	1	28	16	0.023255813953488372	w_706a559e41355dab
audited	subcluster	S21	S08	1	32	12	0.023255813953488372	w_6bc585648f75a51c
audited	subcluster	S04	S12	1	21	24	0.022727272727272728	w_9db7d6568bb89686
audited	subcluster	S21	S25	1	32	13	0.022727272727272728	w_a11738764f341243
audited	subcluster	S25	S23	1	23	24	0.021739130434782608	w_e0964d9cc077c1f7
audited	subcluster	S20	S11	1	22	26	0.02127659574468085	w_9eb59bc5a9947867
audited	subcluster	S21	S04	1	32	16	0.02127659574468085	w_92e7bb6a674a7aa3
audited	subcluster	S21	S05	1	32	16	0.02127659574468085	w_ad515c0bfb86662d
audited	subcluster	S25	S14	1	23	28	0.02	w_22e0f6e0ecd808ae
audited	subcluster	S22	S12	1	29	24	0.019230769230769232	w_9977306cc3994536
audited	subcluster	S21	S12	1	32	24	0.01818181818181818	w_67e8416e326083ff
audited	subcluster	S21	S23	1	32	24	0.01818181818181818	w_1ab7ec580940888c
audited	subcluster	S21	S14	1	32	28	0.01694915254237288	w_ce9d14ed68420ed6
